#queryIndex,queryItem,stringId,preferredName,annotation
70,SRC,9606.ENSP00000362680,SRC,"Proto-oncogene tyrosine-protein kinase Src; Non-receptor protein tyrosine kinase which is activated following engagement of many different classes of cellular receptors including immune response receptors, integrins and other adhesion receptors, receptor protein tyrosine kinases, G protein-coupled receptors as well as cytokine receptors. Participates in signaling pathways that control a diverse spectrum of biological activities including gene transcription, immune response, cell adhesion, cell cycle progression, apoptosis, migration, and transformation. Due to functional redundancy bet [...] "
71,CCL2,9606.ENSP00000225831,CCL2,C-C motif chemokine 2; Acts as a ligand for C-C chemokine receptor CCR2. Signals through binding and activation of CCR2 and induces a strong chemotactic response and mobilization of intracellular calcium ions. Exhibits a chemotactic activity for monocytes and basophils but not neutrophils or eosinophils. May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis.
72,SCG2,9606.ENSP00000304133,SCG2,Secretogranin-2; Neuroendocrine protein of the granin family that regulates the biogenesis of secretory granules.
73,CEACAM1,9606.ENSP00000161559,CEACAM1,"Carcinoembryonic antigen-related cell adhesion molecule 1; [Isoform 1]: Cell adhesion protein that mediates homophilic cell adhesion in a calcium-independent manner (By similarity). Plays a role as coinhibitory receptor in immune response, insulin action and functions also as an activator during angiogenesis. Its coinhibitory receptor function is phosphorylation- and PTPN6 -dependent, which in turn, suppress signal transduction of associated receptors by dephosphorylation of their downstream effectors. Plays a role in immune response, of T cells, natural killer (NK) and neutrophils. Up [...] "
74,HOXB3,9606.ENSP00000417207,HOXB3,Homeobox protein Hox-B3; Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis; Belongs to the Antp homeobox family.
75,GLUL,9606.ENSP00000307900,GLUL,"Glutamine synthetase; Glutamine synthetase that catalyzes the ATP-dependent conversion of glutamate and ammonia to glutamine. Its role depends on tissue localization: in the brain, it regulates the levels of toxic ammonia and converts neurotoxic glutamate to harmless glutamine, whereas in the liver, it is one of the enzymes responsible for the removal of ammonia (By similarity). Essential for proliferation of fetal skin fibroblasts. Independently of its glutamine synthetase activity, required for endothelial cell migration during vascular development: acts by regulating membrane locali [...] "
76,ANPEP,9606.ENSP00000300060,ANPEP,"Aminopeptidase N; Broad specificity aminopeptidase which plays a role in the final digestion of peptides generated from hydrolysis of proteins by gastric and pancreatic proteases. Also involved in the processing of various peptides including peptide hormones, such as angiotensin III and IV, neuropeptides, and chemokines. May also be involved the cleavage of peptides bound to major histocompatibility complex class II molecules of antigen presenting cells. May have a role in angiogenesis and promote cholesterol crystallization. May have a role in amino acid transport by acting as binding [...] "
77,VEGFA,9606.ENSP00000352798,COL18A1,Collagen alpha-1(XVIII) chain; Probably plays a major role in determining the retinal structure as well as in the closure of the neural tube.  Endostatin: Potently inhibits endothelial cell proliferation and angiogenesis. May inhibit angiogenesis by binding to the heparan sulfate proteoglycans involved in growth factor signaling (By similarity). Inhibits VEGFA-induced endothelial cell proliferation and migration. Seems to inhibit VEGFA-mediated signaling by blocking the interaction of VEGFA to its receptor KDR/VEGFR2. Modulates endothelial cell migration in an integrin-dependent manner [...] 
78,PDGFRA,9606.ENSP00000257290,PDGFRA,"Platelet-derived growth factor receptor alpha; Tyrosine-protein kinase that acts as a cell-surface receptor for PDGFA, PDGFB and PDGFC and plays an essential role in the regulation of embryonic development, cell proliferation, survival and chemotaxis. Depending on the context, promotes or inhibits cell proliferation and cell migration. Plays an important role in the differentiation of bone marrow-derived mesenchymal stem cells. Required for normal skeleton development and cephalic closure during embryonic development. Required for normal development of the mucosa lining the gastrointes [...] "
79,PECAM1,9606.ENSP00000457421,PECAM1,Platelet endothelial cell adhesion molecule; Cell adhesion molecule which is required for leukocyte transendothelial migration (TEM) under most inflammatory conditions. Tyr-690 plays a critical role in TEM and is required for efficient trafficking of PECAM1 to and from the lateral border recycling compartment (LBRC) and is also essential for the LBRC membrane to be targeted around migrating leukocytes. Trans-homophilic interaction may play a role in endothelial cell-cell adhesion via cell junctions. Heterophilic interaction with CD177 plays a role in transendothelial migration of neutr [...] 
80,PRKCA,9606.ENSP00000408695,PRKCA,"Protein kinase C alpha type; Calcium-activated, phospholipid- and diacylglycerol (DAG)- dependent serine/threonine-protein kinase that is involved in positive and negative regulation of cell proliferation, apoptosis, differentiation, migration and adhesion, tumorigenesis, cardiac hypertrophy, angiogenesis, platelet function and inflammation, by directly phosphorylating targets such as RAF1, BCL2, CSPG4, TNNT2/CTNT, or activating signaling cascade involving MAPK1/3 (ERK1/2) and RAP1GAP. Involved in cell proliferation and cell growth arrest by positive and negative regulation of the cell [...] "
81,NPR3,9606.ENSP00000265074,NPR3,"Atrial natriuretic peptide receptor 3; Receptor for the natriuretic peptide hormones, binding with similar affinities atrial natriuretic peptide NPPA/ANP, brain natriuretic peptide NPPB/BNP, and C-type natriuretic peptide NPPC/CNP. May function as a clearance receptor for NPPA, NPPB and NPPC, regulating their local concentrations and effects. May regulate diuresis, blood pressure and skeletal development. Does not have guanylate cyclase activity."
82,TAL1,9606.ENSP00000294339,TAL1,T-cell acute lymphocytic leukemia protein 1; Implicated in the genesis of hemopoietic malignancies. It may play an important role in hemopoietic differentiation. Serves as a positive regulator of erythroid differentiation (By similarity).
83,ENG,9606.ENSP00000362299,ENG,"Endoglin; Vascular endothelium glycoprotein that plays an important role in the regulation of angiogenesis. Required for normal structure and integrity of adult vasculature. Regulates the migration of vascular endothelial cells. Required for normal extraembryonic angiogenesis and for embryonic heart development (By similarity). May regulate endothelial cell shape changes in response to blood flow, which drive vascular remodeling and establishment of normal vascular morphology during angiogenesis (By similarity). May play a critical role in the binding of endothelial cells to integrins  [...] "
84,XBP1,9606.ENSP00000216037,XBP1,"X-box-binding protein 1, cytoplasmic form; Functions as a transcription factor during endoplasmic reticulum (ER) stress by regulating the unfolded protein response (UPR). Required for cardiac myogenesis and hepatogenesis during embryonic development, and the development of secretory tissues such as exocrine pancreas and salivary gland (By similarity). Involved in terminal differentiation of B lymphocytes to plasma cells and production of immunoglobulins. Modulates the cellular response to ER stress in a PIK3R-dependent manner. Binds to the cis-acting X box present in the promoter regio [...] "
85,FLT1,9606.ENSP00000282397,FLT1,"Vascular endothelial growth factor receptor 1; Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFA, VEGFB and PGF, and plays an essential role in the development of embryonic vasculature, the regulation of angiogenesis, cell survival, cell migration, macrophage function, chemotaxis, and cancer cell invasion. May play an essential role as a negative regulator of embryonic angiogenesis by inhibiting excessive proliferation of endothelial cells. Can promote endothelial cell proliferation, survival and angiogenesis in adulthood. Its function in promoting cell proliferati [...] "
86,NCL,9606.ENSP00000318195,NCL,Nucleolin; Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a role in pre-rRNA transcription and ribosome assembly. May play a role in the process of transcriptional elongation. Binds RNA oligonucleotides with 5'-UUAGGG- 3' repeats more tightly than the telomeric single-stranded DNA 5'- TTAGGG-3' repeats.
87,TYMP,9606.ENSP00000379038,TYMP,"Thymidine phosphorylase; May have a role in maintaining the integrity of the blood vessels. Has growth promoting activity on endothelial cells, angiogenic activity in vivo and chemotactic activity on endothelial cells in vitro."
88,EDN2,9606.ENSP00000361668,EDN2,Endothelin-2; Endothelins are endothelium-derived vasoconstrictor peptides.
89,EFNA1,9606.ENSP00000357392,EFNA1,"Ephrin-A1, secreted form; Cell surface GPI-bound ligand for Eph receptors, a family of receptor tyrosine kinases which are crucial for migration, repulsion and adhesion during neuronal, vascular and epithelial development. Binds promiscuously Eph receptors residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. Plays an important role in angiogenesis and tumor neovascularization. The recruitment of VAV2, VAV3 and PI3-kinase p85 subunit by phosphorylated EPHA2 is critical for EFNA1-induced RAC1 GTPase activation and vascular endothelial c [...] "
90,S1PR1,9606.ENSP00000305416,S1PR1,"Sphingosine 1-phosphate receptor 1; G-protein coupled receptor for the bioactive lysosphingolipid sphingosine 1-phosphate (S1P) that seems to be coupled to the G(i) subclass of heteromeric G proteins. Signaling leads to the activation of RAC1, SRC, PTK2/FAK1 and MAP kinases. Plays an important role in cell migration, probably via its role in the reorganization of the actin cytoskeleton and the formation of lamellipodia in response to stimuli that increase the activity of the sphingosine kinase SPHK1. Required for normal chemotaxis toward sphingosine 1-phosphate. Required for normal emb [...] "
91,KITLG,9606.ENSP00000495951,KITLG,"Soluble KIT ligand; Ligand for the receptor-type protein-tyrosine kinase KIT. Plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. KITLG/SCF binding can activate several signaling pathways. Promotes phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, and subsequent activation of the kinase AKT1. KITLG/SCF and KIT also transmit signals via GRB2 and activation of RAS, RAF1 and the MAP kinases MAPK1/ERK2 and/or M [...] "
92,SAT1,9606.ENSP00000368572,SAT1,"Diamine acetyltransferase 1; Enzyme which catalyzes the acetylation of polyamines. Substrate specificity: norspermidine = spermidine >> spermine > N(1)- acetylspermine > putrescine. This highly regulated enzyme allows a fine attenuation of the intracellular concentration of polyamines. Also involved in the regulation of polyamine transport out of cells. Acts on 1,3-diaminopropane, 1,5-diaminopentane, putrescine, spermidine (forming N(1)- and N(8)-acetylspermidine), spermine, N(1)-acetylspermidine and N(8)-acetylspermidine; Belongs to the acetyltransferase family."
93,EPHA1,9606.ENSP00000275815,EPHA1,"Ephrin type-A receptor 1; Receptor tyrosine kinase which binds promiscuously membrane- bound ephrin-A family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Binds with a low affinity EFNA3 and EFNA4 and with a high affinity to EFNA1 which most probably constitutes its cognate/functional ligand. Upon activation by EFNA1 induces cell attachment  [...] "
94,FGFR2,9606.ENSP00000410294,FGFR2,"Fibroblast growth factor receptor 2; Tyrosine-protein kinase that acts as cell-surface receptor for fibroblast growth factors and plays an essential role in the regulation of cell proliferation, differentiation, migration and apoptosis, and in the regulation of embryonic development. Required for normal embryonic patterning, trophoblast function, limb bud development, lung morphogenesis, osteogenesis and skin development. Plays an essential role in the regulation of osteoblast differentiation, proliferation and apoptosis, and is required for normal skeleton development. Promotes cell p [...] "
95,WARS1,9606.ENSP00000347495,WARS1,"Tryptophan--tRNA ligase, cytoplasmic; Isoform 1, isoform 2 and T1-TrpRS have aminoacylation activity while T2-TrpRS lacks it. Isoform 2, T1-TrpRS and T2-TrpRS possess angiostatic activity whereas isoform 1 lacks it. T2-TrpRS inhibits fluid shear stress-activated responses of endothelial cells. Regulates ERK, Akt, and eNOS activation pathways that are associated with angiogenesis, cytoskeletal reorganization and shear stress- responsive gene expression."
96,JAK1,9606.ENSP00000499900,JAK1,"Tyrosine-protein kinase JAK1; Tyrosine kinase of the non-receptor type, involved in the IFN-alpha/beta/gamma signal pathway. Kinase partner for the interleukin (IL)-2 receptor  as well as interleukin (IL)-10 receptor."
97,PTPRB,9606.ENSP00000334928,PTPRB,"Receptor-type tyrosine-protein phosphatase beta; Plays an important role in blood vessel remodeling and angiogenesis. Not necessary for the initial formation of blood vessels, but is essential for their maintenance and remodeling. Can induce dephosphorylation of TEK/TIE2, CDH5/VE-cadherin and KDR/VEGFR-2. Regulates angiopoietin-TIE2 signaling in endothelial cells. Acts as a negative regulator of TIE2, and controls TIE2 driven endothelial cell proliferation, which in turn affects blood vessel remodeling during embryonic development and determines blood vessel size during perinatal growt [...] "
98,NPPC,9606.ENSP00000387159,NPPC,C-type natriuretic peptide; Hormone which plays a role in endochondral ossification through regulation of cartilaginous growth plate chondrocytes proliferation and differentiation. May also be vasoactive and natriuretic. Specifically binds and stimulates the cGMP production of the NPR2 receptor. Binds the clearance receptor NPR3 (By similarity).
99,COL8A2,9606.ENSP00000380901,COL8A2,"Collagen alpha-2(VIII) chain; Macromolecular component of the subendothelium. Major component of the Descemet's membrane (basement membrane) of corneal endothelial cells. Also component of the endothelia of blood vessels. Necessary for migration and proliferation of vascular smooth muscle cells and thus, has a potential role in the maintenance of vessel wall integrity and structure, in particular in atherogenesis (By similarity)."
100,EDNRA,9606.ENSP00000315011,EDNRA,Endothelin-1 receptor; Receptor for endothelin-1. Mediates its action by association with G proteins that activate a phosphatidylinositol-calcium second messenger system. The rank order of binding affinities for ET-A is: ET1 > ET2 >> ET3.
101,ACKR3,9606.ENSP00000272928,ACKR3,"Atypical chemokine receptor 3; Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis. Also known as interceptor (internalizing receptor) or chemokine-scavenging receptor or chemokine decoy receptor. Acts as a receptor for chemokines CXCL11 and CXCL12/SDF1. Chemokine binding does not activate G-protein- mediated signal transduction but instead induces beta-arrestin recruitment, lead [...] "
102,COL8A1,9606.ENSP00000261037,COL8A1,"Collagen alpha-1(VIII) chain; Macromolecular component of the subendothelium. Major component of the Descemet's membrane (basement membrane) of corneal endothelial cells. Also component of the endothelia of blood vessels. Necessary for migration and proliferation of vascular smooth muscle cells and thus, has a potential role in the maintenance of vessel wall integrity and structure, in particular in atherogenesis."
103,CCN2,9606.ENSP00000356954,CCN2,"CCN family member 2; Major connective tissue mitoattractant secreted by vascular endothelial cells. Promotes proliferation and differentiation of chondrocytes. Mediates heparin- and divalent cation-dependent cell adhesion in many cell types including fibroblasts, myofibroblasts, endothelial and epithelial cells. Enhances fibroblast growth factor- induced DNA synthesis; Belongs to the CCN family."
104,EPHA2,9606.ENSP00000351209,EPHA2,"Ephrin type-A receptor 2; Receptor tyrosine kinase which binds promiscuously membrane- bound ephrin-A family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Activated by the ligand ephrin- A1/EFNA1 regulates migration, integrin-mediated adhesion, proliferation and differentiation of cells. Regulates cell adhesion and differentiation through DS [...] "
105,EPHB2,9606.ENSP00000383053,EPHB2,"Ephrin type-B receptor 2; Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Functions in axon guidance during development. Involved in the guidance of commissural axons, that form a major interhemispheric connection between the 2 temporal lobes of the cerebral corte [...] "
106,SHC1,9606.ENSP00000401303,SHC1,"SHC-transforming protein 1; Signaling adapter that couples activated growth factor receptors to signaling pathways. Participates in a signaling cascade initiated by activated KIT and KITLG/SCF. Isoform p46Shc and isoform p52Shc, once phosphorylated, couple activated receptor tyrosine kinases to Ras via the recruitment of the GRB2/SOS complex and are implicated in the cytoplasmic propagation of mitogenic signals. Isoform p46Shc and isoform p52Shc may thus function as initiators of the Ras signaling cascade in various non-neuronal systems. Isoform p66Shc does not mediate Ras activation,  [...] "
107,NOS3,9606.ENSP00000297494,NOS3,"Nitric oxide synthase, endothelial; Produces nitric oxide (NO) which is implicated in vascular smooth muscle relaxation through a cGMP-mediated signal transduction pathway. NO mediates vascular endothelial growth factor (VEGF)-induced angiogenesis in coronary vessels and promotes blood clotting through the activation of platelets; Belongs to the NOS family."
108,S100A7,9606.ENSP00000357711,S100A7,S100 calcium binding protein A7.
109,HOXA7,9606.ENSP00000242159,HOXA7,Homeobox protein Hox-A7; Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis; Belongs to the Antp homeobox family.
110,FGF9,9606.ENSP00000371790,FGF9,"Fibroblast growth factor 9; Plays an important role in the regulation of embryonic development, cell proliferation, cell differentiation and cell migration. May have a role in glial cell growth and differentiation during development, gliosis during repair and regeneration of brain tissue after damage, differentiation and survival of neuronal cells, and growth stimulation of glial tumors; Belongs to the heparin-binding growth factors family."
111,CTNNB1,9606.ENSP00000495360,CTNNB1,"Catenin beta-1; Key downstream component of the canonical Wnt signaling pathway. In the absence of Wnt, forms a complex with AXIN1, AXIN2, APC, CSNK1A1 and GSK3B that promotes phosphorylation on N-terminal Ser and Thr residues and ubiquitination of CTNNB1 via BTRC and its subsequent degradation by the proteasome. In the presence of Wnt ligand, CTNNB1 is not ubiquitinated and accumulates in the nucleus, where it acts as a coactivator for transcription factors of the TCF/LEF family, leading to activate Wnt responsive genes. Involved in the regulation of cell adhesion, as component of an  [...] "
112,RORA,9606.ENSP00000261523,RORA,"Nuclear receptor ROR-alpha; Nuclear receptor that binds DNA as a monomer to ROR response elements (RORE) containing a single core motif half-site 5'-AGGTCA-3' preceded by a short A-T-rich sequence. Key regulator of embryonic development, cellular differentiation, immunity, circadian rhythm as well as lipid, steroid, xenobiotics and glucose metabolism. Considered to have intrinsic transcriptional activity, have some natural ligands like oxysterols that act as agonists (25-hydroxycholesterol) or inverse agonists (7-oxygenated sterols), enhancing or repressing the transcriptional activity [...] "
113,APLNR,9606.ENSP00000475344,APLNR,"Apelin receptor; Receptor for apelin receptor early endogenous ligand (APELA) and apelin (APLN) hormones coupled to G proteins that inhibit adenylate cyclase activity. Plays a key role in early development such as gastrulation, blood vessels formation and heart morphogenesis by acting as a receptor for APELA hormone (By similarity). May promote angioblast migration toward the embryonic midline, i.e. the position of the future vessel formation, during vasculogenesis (By similarity). Promotes sinus venosus (SV)-derived endothelial cells migration into the developing heart to promote coro [...] "
114,MYH9,9606.ENSP00000216181,MYH9,"Myosin-9; Cellular myosin that appears to play a role in cytokinesis, cell shape, and specialized functions such as secretion and capping. During cell spreading, plays an important role in cytoskeleton reorganization, focal contacts formation (in the margins but not the central part of spreading cells), and lamellipodial retraction; this function is mechanically antagonized by MYH10."
115,TIE1,9606.ENSP00000361554,TIE1,Tyrosine-protein kinase receptor Tie-1; Transmembrane tyrosine-protein kinase that may modulate TEK/TIE2 activity and contribute to the regulation of angiogenesis.
116,BSG,9606.ENSP00000333769,BSG,"Basigin; Plays an important role in targeting the monocarboxylate transporters SLC16A1, SLC16A3, SLC16A8, SLC16A11 and SLC16A12 to the plasma membrane. Plays pivotal roles in spermatogenesis, embryo implantation, neural network formation and tumor progression. Stimulates adjacent fibroblasts to produce matrix metalloproteinases (MMPS). Seems to be a receptor for oligomannosidic glycans. In vitro, promotes outgrowth of astrocytic processes.  (Microbial infection) Erythrocyte receptor for P.falciparum RH5 which is essential for erythrocyte invasion by the merozoite stage of P.falciparum  [...] "
117,SOX18,9606.ENSP00000341815,SOX18,"Transcription factor SOX-18; Transcriptional activator that binds to the consensus sequence 5'-AACAAAG-3' in the promoter of target genes and plays an essential role in embryonic cardiovascular development and lymphangiogenesis. Activates transcription of PROX1 and other genes coding for lymphatic endothelial markers. Plays an essential role in triggering the differentiation of lymph vessels, but is not required for the maintenance of differentiated lymphatic endothelial cells. Plays an important role in postnatal angiogenesis, where it is functionally redundant with SOX17. Interaction [...] "
118,FLT4,9606.ENSP00000261937,FLT4,"Vascular endothelial growth factor receptor 3; Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFC and VEGFD, and plays an essential role in adult lymphangiogenesis and in the development of the vascular network and the cardiovascular system during embryonic development. Promotes proliferation, survival and migration of endothelial cells, and regulates angiogenic sprouting. Signaling by activated FLT4 leads to enhanced production of VEGFC, and to a lesser degree VEGFA, thereby creating a positive feedback loop that enhances FLT4 signaling. Modulates KDR signaling by  [...] "
119,KDR,9606.ENSP00000263923,KDR,"Vascular endothelial growth factor receptor 2; Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFA, VEGFC and VEGFD. Plays an essential role in the regulation of angiogenesis, vascular development, vascular permeability, and embryonic hematopoiesis. Promotes proliferation, survival, migration and differentiation of endothelial cells. Promotes reorganization of the actin cytoskeleton. Isoforms lacking a transmembrane domain, such as isoform 2 and isoform 3, may function as decoy receptors for VEGFA, VEGFC and/or VEGFD. Isoform 2 plays an important role as negative reg [...] "
120,GJA5,9606.ENSP00000484552,GJA5,"Gap junction alpha-5 protein; One gap junction consists of a cluster of closely packed pairs of transmembrane channels, the connexons, through which materials of low MW diffuse from one cell to a neighboring cell."
121,MAP2K2,9606.ENSP00000262948,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2; Catalyzes the concomitant phosphorylation of a threonine and a tyrosine residue in a Thr-Glu-Tyr sequence located in MAP kinases. Activates the ERK1 and ERK2 MAP kinases (By similarity). Activates BRAF in a KSR1 or KSR2-dependent manner; by binding to KSR1 or KSR2 releases the inhibitory intramolecular interaction between KSR1 or KSR2 protein kinase and N-terminal domains which promotes KSR1 or KSR2-BRAF dimerization and BRAF activation.
122,BMPR1A,9606.ENSP00000361107,BMPR1A,"Bone morphogenetic protein receptor type-1A; On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. Receptor for BMP2, BMP4, GDF5 and GDF6. Positively regulates chondrocyte differentiation through GDF5 interaction. Mediates induction of adipogenesis by GDF6. Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily."
123,TGFBR1,9606.ENSP00000447297,TGFBR1,"TGF-beta receptor type-1; Transmembrane serine/threonine kinase forming with the TGF- beta type II serine/threonine kinase receptor, TGFBR2, the non- promiscuous receptor for the TGF-beta cytokines TGFB1, TGFB2 and TGFB3. Transduces the TGFB1, TGFB2 and TGFB3 signal from the cell surface to the cytoplasm and is thus regulating a plethora of physiological and pathological processes including cell cycle arrest in epithelial and hematopoietic cells, control of mesenchymal cell proliferation and differentiation, wound healing, extracellular matrix production, immunosuppression and carcinog [...] "
124,ACVRL1,9606.ENSP00000373574,ACVRL1,"Serine/threonine-protein kinase receptor R3; Type I receptor for TGF-beta family ligands BMP9/GDF2 and BMP10 and important regulator of normal blood vessel development. On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. May bind activin as well."
125,COL15A1,9606.ENSP00000364140,COL15A1,"Collagen alpha-1(XV) chain; Structural protein that stabilizes microvessels and muscle cells, both in heart and in skeletal muscle."
126,COL18A1,9606.ENSP00000352798,COL18A1,Collagen alpha-1(XVIII) chain; Probably plays a major role in determining the retinal structure as well as in the closure of the neural tube.  Endostatin: Potently inhibits endothelial cell proliferation and angiogenesis. May inhibit angiogenesis by binding to the heparan sulfate proteoglycans involved in growth factor signaling (By similarity). Inhibits VEGFA-induced endothelial cell proliferation and migration. Seems to inhibit VEGFA-mediated signaling by blocking the interaction of VEGFA to its receptor KDR/VEGFR2. Modulates endothelial cell migration in an integrin-dependent manner [...] 
127,ID1,9606.ENSP00000365280,ID1,"DNA-binding protein inhibitor ID-1; Transcriptional regulator (lacking a basic DNA binding domain) which negatively regulates the basic helix-loop-helix (bHLH) transcription factors by forming heterodimers and inhibiting their DNA binding and transcriptional activity. Implicated in regulating a variety of cellular processes, including cellular growth, senescence, differentiation, apoptosis, angiogenesis, and neoplastic transformation. Inhibits skeletal muscle and cardiac myocyte differentiation. Regulates the circadian clock by repressing the transcriptional activator activity of the C [...] "
128,LEP,9606.ENSP00000312652,LEP,"Leptin; Key player in the regulation of energy balance and body weight control. Once released into the circulation, has central and peripheral effects by binding LEPR, found in many tissues, which results in the activation of several major signaling pathways. In the hypothalamus, acts as an appetite-regulating factor that induces a decrease in food intake and an increase in energy consumption by inducing anorexinogenic factors and suppressing orexigenic neuropeptides, also regulates bone mass and secretion of hypothalamo- pituitary-adrenal hormones. In the periphery, increases basal me [...] "
129,ELK3,9606.ENSP00000228741,ELK3,"ETS domain-containing protein Elk-3; May be a negative regulator of transcription, but can activate transcription when coexpressed with Ras, Src or Mos. Forms a ternary complex with the serum response factor and the ETS and SRF motifs of the Fos serum response element."
130,MTOR,9606.ENSP00000354558,MTOR,"Serine/threonine-protein kinase mTOR; Serine/threonine protein kinase which is a central regulator of cellular metabolism, growth and survival in response to hormones, growth factors, nutrients, energy and stress signals. MTOR directly or indirectly regulates the phosphorylation of at least 800 proteins. Functions as part of 2 structurally and functionally distinct signaling complexes mTORC1 and mTORC2 (mTOR complex 1 and 2). Activated mTORC1 up-regulates protein synthesis by phosphorylating key regulators of mRNA translation and ribosome synthesis. This includes phosphorylation of EIF [...] "
131,PIK3CA,9606.ENSP00000263967,PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphoinositide-3-kinase (PI3K) that phosphorylates PtdIns (Phosphatidylinositol), PtdIns4P (Phosphatidylinositol 4-phosphate) and PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. Participates in cellular signaling in response to v [...] "
132,MCAM,9606.ENSP00000264036,MCAM,"Cell surface glycoprotein MUC18; Plays a role in cell adhesion, and in cohesion of the endothelial monolayer at intercellular junctions in vascular tissue. Its expression may allow melanoma cells to interact with cellular elements of the vascular system, thereby enhancing hematogeneous tumor spread. Could be an adhesion molecule active in neural crest cells during embryonic development. Acts as surface receptor that triggers tyrosine phosphorylation of FYN and PTK2/FAK1, and a transient increase in the intracellular calcium concentration."
133,SYK,9606.ENSP00000364898,SYK,"Tyrosine-protein kinase SYK; Non-receptor tyrosine kinase which mediates signal transduction downstream of a variety of transmembrane receptors including classical immunoreceptors like the B-cell receptor (BCR). Regulates several biological processes including innate and adaptive immunity, cell adhesion, osteoclast maturation, platelet activation and vascular development. Assembles into signaling complexes with activated receptors at the plasma membrane via interaction between its SH2 domains and the receptor tyrosine-phosphorylated ITAM domains. The association with the receptor can a [...] "
134,NOTCH1,9606.ENSP00000498587,NOTCH1,"Neurogenic locus notch homolog protein 1; Functions as a receptor for membrane-bound ligands Jagged-1 (JAG1), Jagged-2 (JAG2) and Delta-1 (DLL1) to regulate cell-fate determination. Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBPJ/RBPSUH and activates genes of the enhancer of split locus. Affects the implementation of differentiation, proliferation and apoptotic programs. Involved in angiogenesis; negatively regulates endothelial cell proliferation and migration and angiogenic sprouting. Involved in the [...] "
135,LEPR,9606.ENSP00000330393,LEPR,"Leptin receptor; Receptor for hormone LEP/leptin (Probable). On ligand binding, mediates LEP central and peripheral effects through the activation of different signaling pathways such as JAK2/STAT3 and MAPK cascade/FOS. In the hypothalamus, LEP acts as an appetite- regulating factor that induces a decrease in food intake and an increase in energy consumption by inducing anorexinogenic factors and suppressing orexigenic neuropeptides, also regulates bone mass and secretion of hypothalamo-pituitary-adrenal hormones (By similarity). In the periphery, increases basal metabolism, influences [...] "
136,PIK3CG,9606.ENSP00000419260,PIK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform; Phosphoinositide-3-kinase (PI3K) that phosphorylates PtdIns(4,5)P2 (Phosphatidylinositol 4,5-bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. Links G-protein coupled receptor activation to PIP3 production. Involved in immune, inflammatory and allergic responses. Modulates [...] "
